Designator	Part	Midx	Midy	Refx	Refy	Padx	Pady	TB	Rotation
Lr00c00	PLCC-6	0.480	0.748	0.480	0.748	0.413	0.787	Top	0.0
R86FBF	0402a	0.731	0.226	0.731	0.226	0.715	0.226	Top	-90.0
RBRISP	0805	4.118	2.563	4.118	2.563	4.118	2.600	Bottom	0.0
CBMIN	0805	3.016	2.071	3.016	2.071	3.016	2.033	Bottom	180.0
CO2	0805	2.669	0.200	2.669	0.200	2.669	0.163	Top	-180.0
RRTCLK	0402a	3.789	0.621	3.789	0.621	3.789	0.638	Top	180.0
U5	DHVQFN16	3.965	0.453	3.965	0.453	3.974	0.392	Top	180.0
CRR	Cap2917	3.646	2.270	3.646	2.270	3.646	2.270	Bottom	90.0
DRR	PowerDi	3.961	2.197	3.961	2.244	3.961	2.244	Bottom	-90.0
RBRFG	0603	4.181	2.069	4.181	2.069	4.181	2.098	Top	0.0
CRRCC	0805	3.866	2.589	3.866	2.589	3.829	2.589	Top	90.0
RBRFF	0603	4.236	2.069	4.236	2.069	4.236	2.039	Top	180.0
MRR	SO8	3.818	2.138	3.893	2.028	3.893	2.028	Bottom	0.0
LRR	Ind	3.862	2.480	3.862	2.480	3.862	2.362	Bottom	180.0
Lr01c09	PLCC-6	2.764	0.965	2.764	0.965	2.697	1.004	Top	0.0
Lr04c09	PLCC-6	2.764	1.614	2.764	1.614	2.697	1.654	Top	0.0
CBRG	0603	4.309	2.043	4.309	2.043	4.339	2.043	Top	-90.0
LBM	Ind	2.917	2.484	2.917	2.484	2.917	2.366	Bottom	180.0
RBMTS	0603	2.968	2.089	2.968	2.089	2.968	2.119	Top	0.0
RBMSET	0603	3.024	2.069	3.024	2.069	3.024	2.098	Top	0.0
RMH	0402a	2.313	0.338	2.313	0.338	2.313	0.354	Top	180.0
CRRIN	0805	3.961	2.067	3.961	2.067	3.961	2.030	Bottom	180.0
RBMRT	0603	2.733	2.064	2.733	2.064	2.763	2.064	Bottom	-90.0
RCL	0402a	1.732	0.342	1.732	0.342	1.732	0.325	Top	0.0
CI2	0805	2.395	0.179	2.395	0.179	2.433	0.179	Bottom	-90.0
Lr02c13	PLCC-6	3.787	1.181	3.787	1.181	3.720	1.220	Top	0.0
CIB	0603	1.683	0.098	1.683	0.098	1.654	0.098	Top	90.0
RGLISP	0805	0.316	2.550	0.316	2.550	0.316	2.587	Bottom	0.0
Lr00c11	PLCC-6	3.276	0.748	3.276	0.748	3.209	0.787	Top	0.0
Lr05c13	PLCC-6	3.787	1.831	3.787	1.831	3.720	1.870	Top	0.0
CRLCC	0805	1.031	2.589	1.031	2.589	0.994	2.589	Top	90.0
CGL	Cap2917	0.339	2.274	0.339	2.274	0.339	2.274	Bottom	90.0
CGMG	0603	1.947	2.043	1.947	2.043	1.976	2.043	Top	-90.0
CBLG	0603	1.474	2.043	1.474	2.043	1.504	2.043	Top	-90.0
RML	0402a	2.313	0.265	2.313	0.265	2.313	0.281	Top	180.0
CBOUT1	0805	0.986	0.177	0.986	0.177	1.024	0.177	Bottom	-90.0
LBOOST	Ind	1.220	0.236	1.220	0.236	1.220	0.118	Bottom	180.0
RBMFG	0603	2.764	2.069	2.764	2.069	2.764	2.098	Top	0.0
RSENSE	0805	0.819	0.108	0.819	0.108	0.781	0.108	Bottom	90.0
CGLIN	0805	0.654	2.071	0.654	2.071	0.654	2.033	Bottom	180.0
MBL	SO8	1.455	2.141	1.530	2.031	1.530	2.031	Bottom	0.0
Lr03c02	PLCC-6	0.992	1.398	0.992	1.398	0.925	1.437	Top	0.0
Lr05c12	PLCC-6	3.531	1.831	3.531	1.831	3.465	1.870	Top	0.0
RBMFF	0603	2.819	2.069	2.819	2.069	2.819	2.039	Top	180.0
Lr05c05	PLCC-6	1.740	1.831	1.740	1.831	1.673	1.870	Top	0.0
Lr00c08	PLCC-6	2.508	0.748	2.508	0.748	2.441	0.787	Top	0.0
Lr00c01	PLCC-6	0.736	0.748	0.736	0.748	0.669	0.787	Top	0.0
MRM	SO8	2.400	2.138	2.475	2.028	2.475	2.028	Bottom	0.0
Lr05c11	PLCC-6	3.276	1.831	3.276	1.831	3.209	1.870	Top	0.0
RBLTS	0603	1.551	2.089	1.551	2.089	1.551	2.119	Top	0.0
Lr01c11	PLCC-6	3.276	0.965	3.276	0.965	3.209	1.004	Top	0.0
RGMSET	0603	2.138	2.174	2.138	2.174	2.138	2.203	Bottom	0.0
DB1	BAS140	0.620	0.344	0.620	0.344	0.620	0.344	Top	0.0
RGRFF	0603	3.276	2.069	3.276	2.069	3.276	2.039	Top	180.0
DBR	PowerDi	4.433	2.201	4.433	2.248	4.433	2.248	Bottom	-90.0
RCS11	0402a	4.193	0.597	4.193	0.597	4.193	0.581	Top	0.0
RCS13	0402a	4.114	0.597	4.114	0.597	4.114	0.581	Top	0.0
RCS12	0402a	4.154	0.597	4.154	0.597	4.154	0.581	Top	0.0
Lr04c14	PLCC-6	4.043	1.614	4.043	1.614	3.976	1.654	Top	0.0
Lr04c02	PLCC-6	0.992	1.614	0.992	1.614	0.925	1.654	Top	0.0
RGRFG	0603	3.220	2.069	3.220	2.069	3.220	2.098	Top	0.0
RBLISP	0805	1.283	2.563	1.283	2.563	1.283	2.600	Bottom	0.0
Lr00c15	PLCC-6	4.299	0.748	4.299	0.748	4.232	0.787	Top	0.0
CVCC	0603	0.915	0.413	0.915	0.413	0.886	0.413	Top	90.0
Lr02c07	PLCC-6	2.252	1.181	2.252	1.181	2.185	1.220	Top	0.0
RRMFF	0603	2.354	2.069	2.354	2.069	2.354	2.039	Top	180.0
Lr02c14	PLCC-6	4.043	1.181	4.043	1.181	3.976	1.220	Top	0.0
Lr03c00	PLCC-6	0.480	1.398	0.480	1.398	0.413	1.437	Top	0.0
Lr00c07	PLCC-6	2.252	0.748	2.252	0.748	2.185	0.787	Top	0.0
RRRRT	0603	3.661	2.069	3.661	2.069	3.661	2.098	Top	0.0
Lr05c08	PLCC-6	2.508	1.831	2.508	1.831	2.441	1.870	Top	0.0
Lr02c05	PLCC-6	1.740	1.181	1.740	1.181	1.673	1.220	Top	0.0
Lr00c12	PLCC-6	3.531	0.748	3.531	0.748	3.465	0.787	Top	0.0
RFBGB	0402a	1.437	0.288	1.437	0.288	1.437	0.272	Bottom	0.0
MGL	SO8	0.510	2.141	0.585	2.031	0.585	2.031	Bottom	0.0
U2	UD16 (3x3QFN)	0.787	0.344	0.787	0.344	0.758	0.289	Top	90.0
Lr03c06	PLCC-6	1.996	1.398	1.996	1.398	1.929	1.437	Top	0.0
CGMSS	0603	1.774	2.079	1.774	2.079	1.803	2.079	Bottom	-90.0
CBRCC	0805	4.339	2.589	4.339	2.589	4.301	2.589	Top	90.0
RRLFF	0603	0.937	2.069	0.937	2.069	0.937	2.039	Top	180.0
CGMCC	0805	1.976	2.589	1.976	2.589	1.939	2.589	Top	90.0
J3	USB A	3.186	0.445	3.186	0.481	3.324	0.481	Bottom	0.0
CBR	Cap2917	4.118	2.274	4.118	2.274	4.118	2.274	Bottom	90.0
Lr01c04	PLCC-6	1.484	0.965	1.484	0.965	1.417	1.004	Top	0.0
Lr04c04	PLCC-6	1.484	1.614	1.484	1.614	1.417	1.654	Top	0.0
RCS0	0402a	3.917	0.558	3.917	0.558	3.917	0.541	Top	0.0
CBFCIN	Cap2917	0.579	0.492	0.579	0.492	0.579	0.492	Bottom	0.0
RGMISP	0805	1.733	2.560	1.733	2.560	1.733	2.597	Bottom	0.0
CI1	0805	2.395	0.336	2.395	0.336	2.433	0.336	Bottom	-90.0
