Designator, Part, Midx, Midy, Refx, Refy, Padx, Pady, TB, Rotation
U2, 14, UD16 (3x3QFN), 0.531, 0.325, 0.531, 0.325, 0.502, 0.270, Top, 90.0
J1, 0, Pi Zero Mounting, 4.349, 1.280, 3.937, 1.280, 4.340, 0.330, Bottom, -90.0
CCX, 24, 0603, 1.545, 0.335, 1.545, 0.335, 1.545, 0.305, Top, 180.0
Lr01c01, 3, PLCC-6, 0.480, 0.748, 0.480, 0.748, 0.413, 0.787, Top, 0.0
UGL, 9, QFN 5x9, 0.256, 2.126, 0.256, 2.126, 0.350, 1.992, Top, 180.0
Lr02c04, 3, PLCC-6, 1.228, 0.965, 1.228, 0.965, 1.161, 1.004, Top, 0.0
MBR, 4, SO8, 4.034, 1.925, 4.109, 1.815, 4.109, 1.815, Bottom, 0.0
RBLFF, 26, 0603, 1.146, 1.852, 1.146, 1.852, 1.146, 1.823, Top, 180.0
UBL, 9, QFN 5x9, 1.201, 2.126, 1.201, 2.126, 1.295, 1.992, Top, 180.0
CX1, 25, 0603, 0.522, 2.441, 0.522, 2.441, 0.522, 2.411, Top, 180.0
LGL, 7, Ind, 0.299, 2.268, 0.299, 2.268, 0.299, 2.150, Bottom, 180.0
RFB1, 37, 0402a, 2.168, 0.394, 2.168, 0.394, 2.185, 0.394, Top, 90.0
RNTC, 36, 0402a, 1.273, 0.384, 1.273, 0.384, 1.289, 0.384, Top, 90.0
CRMCC, 17, 0805, 2.157, 2.402, 2.157, 2.402, 2.157, 2.364, Top, 180.0
RBLFG, 27, 0603, 1.091, 1.852, 1.091, 1.852, 1.091, 1.882, Top, 0.0
R86FBG, 37, 0402a, 0.526, 0.190, 0.526, 0.190, 0.526, 0.207, Top, -180.0
MN1, 5, SO8, 0.661, 0.292, 0.551, 0.217, 0.551, 0.217, Bottom, -90.0
Lr04c07, 3, PLCC-6, 1.996, 1.398, 1.996, 1.398, 1.929, 1.437, Top, 0.0
RBRTS, 30, 0603, 4.129, 1.873, 4.129, 1.873, 4.129, 1.902, Top, 0.0
